identifier,entityName,attributeName,attributeDefinition,attributeLabel,attributeUnit,ECSO_,who,notes
doi:10.18739/A2X29N,96_site4_eddy_30min_V3.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_heath_A_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site10_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site7_eddy_30min_V3.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site5_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site9_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site17_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site6_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site13_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site1_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site4_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site18_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_heath_B_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site3_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site10_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site8_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site1_eddy_30min_V3.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site6_eddy_30min_V3.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site3_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_sitelake_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site2_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site8_eddy_30min_V3.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site9_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site2_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site14_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site15_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site16_eddy_30min_V2.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_site7_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,95_sitelake_eddy_30min_V1.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2X29N,96_site5_eddy_30min_V3.txt,column2,Time mark of the END of the averaging period,,,00002045,SC,
doi:10.18739/A2CD5M,ASDN_Lemming_trap.csv,prebait end time,Time when the prebait ended,,,00002045,SC,
doi:10.18739/A2VT1GP7Q,Utqiagvik_daily_species_counts.csv,Bee_sp,number of individuals observed during field activities for species listed in column heading. 'x' = species present but individuals not counted,,number,00002046,SC,
doi:10.18739/A22Z8G,20072008_AON_IC_1993.csv,MONTH,integer,,Unit not found in metadata,00002047,SC,
doi:10.18739/A22Z8G,20072008_AON_IC_1993.txt,MONTH,integer,,Unit not found in metadata,00002047,SC,
doi:10.18739/A2F867,20072008_AON_IC_1991.csv,MONTH,integer,,Unit not found in metadata,00002047,SC,
doi:10.18739/A2F867,20072008_AON_IC_1991.txt,MONTH,integer,,Unit not found in metadata,00002047,SC,
doi:10.18739/A2FM3J,AB2013_2016.csv,Month,Month,,dimensionless,00002047,SC,
doi:10.18739/A2R28Q,ICECAPS_precip_product_2010_2015.nc,mm,month,,,00002047,SC,
